statement_date,security_id,ticker,security_name,asset_class,currency,quantity,unit_price,market_value
2026-07-22,AU_EQ_BHP,BHP,BHP Group Ltd,AU Equities,AUD,7770,441.15,3427735.5
2026-07-22,AU_EQ_CBA,CBA,Commonwealth Bank of Australia,AU Equities,AUD,5845,406.62,2376693.9
2026-07-22,AU_EQ_CSL,CSL,CSL Limited,AU Equities,AUD,12464,334.31,4166839.84
2026-07-22,AU_EQ_NAB,NAB,National Australia Bank,AU Equities,AUD,6765,98.46,666081.9
2026-07-22,AU_EQ_WES,WES,Wesfarmers Ltd,AU Equities,AUD,4431,260.7,1155161.7
2026-07-22,AU_EQ_WOW,WOW,Woolworths Group,AU Equities,AUD,12136,336.6,4084977.6
2026-07-22,AU_EQ_TLS,TLS,Telstra Group,AU Equities,AUD,8285,26.01,215492.85
2026-07-22,AU_EQ_RIO,RIO,Rio Tinto Ltd,AU Equities,AUD,1269,401.27,509211.63
2026-07-22,AU_EQ_MQG,MQG,Macquarie Group,AU Equities,AUD,7449,15.42,114863.58
2026-07-22,AU_EQ_XRO,XRO,Xero Limited,AU Equities,AUD,5551,113.12,627929.12
2026-07-22,AU_EQ_A200,A200,Betashares Australia 200 ETF,AU Equities,AUD,5055,342.23,1729972.65
2026-07-22,AU_EQ_VAS,VAS,Vanguard Australian Shares ETF,AU Equities,AUD,6896,246.09,1697036.64
2026-07-22,US_EQ_AAPL,AAPL,Apple Inc.,US Equities,USD,9166,342.34,3155407.47
2026-07-22,US_EQ_MSFT,MSFT,Microsoft Corp.,US Equities,USD,8349,39.97,333709.53
2026-07-22,US_EQ_NVDA,NVDA,NVIDIA Corp.,US Equities,USD,3247,211.0,685996.97
2026-07-22,US_EQ_AMZN,AMZN,Amazon.com Inc.,US Equities,USD,689,63.47,43730.83
2026-07-22,US_EQ_GOOGL,GOOGL,Alphabet Inc.,US Equities,USD,3505,121.83,427014.15
2026-07-22,US_EQ_META,META,Meta Platforms Inc.,US Equities,USD,8234,528.15,4348787.1
2026-07-22,US_EQ_JPM,JPM,JPMorgan Chase & Co.,US Equities,USD,2028,38.96,79010.88
2026-07-22,US_EQ_VTS,VTS,Vanguard US Total Market ETF,US Equities,USD,4390,378.96,1663634.4
2026-07-22,US_EQ_VGS,VGS,Vanguard International Shares ETF,US Equities,USD,11580,49.8,576684.0
2026-07-22,US_EQ_SPCX,SPCX,Space Exploration Technologies Corp.,US Equities,USD,11127,519.08,5775803.16
2026-07-22,FI_AGB_2031,AGB31,Australian Govt Bond 2031,Fixed Income,AUD,1965689,95.88,188470261.32
2026-07-22,FI_AGB_2028,AGB28,Australian Govt Bond 2028,Fixed Income,AUD,756508,102.5,77542070.0
2026-07-22,FI_UST_2030,UST30,US Treasury Note 2030,Fixed Income,USD,2703682,103.18,278965908.76
2026-07-22,FI_CORP_TLS,CTLS28,Telstra Corporate Bond 2028,Fixed Income,AUD,2273415,101.8,230970779.71
2026-07-22,FI_CORP_CBA,CCBA29,CBA Tier 2 Subordinated Note 2029,Fixed Income,AUD,2008349,99.68,200192228.32
2026-07-22,FI_SEMI_QLD,QTC30,Queensland Treasury Corp Bond 2030,Fixed Income,AUD,1863715,96.66,180146691.9
2026-07-22,ALT_INF_MEL,MEL_AIRPORT,Melbourne Airport Infrastructure Fund,Unlisted/Alternatives,AUD,3,1389913.0,3810307.33
2026-07-22,ALT_PE_COLLINS,COLLINS_PE,Collins St Private Equity Fund III,Unlisted/Alternatives,AUD,4,596769.0,2183729.77
2026-07-22,ALT_INF_WIND,WINDFARM_02,Southern Ranges Windfarm Trust,Unlisted/Alternatives,AUD,2,1446797.0,2893594.0
2026-07-22,ALT_PROP_LOG,LOGISTICS_HUB,National Logistics Property Trust,Unlisted/Alternatives,AUD,3,887879.0,2663637.0
2026-07-22,CASH_AUD,CASH_AUD,Cash - Australian Dollar,Cash,AUD,716185,1.0,716185.0
2026-07-22,CASH_USD,CASH_USD,Cash - US Dollar,Cash,USD,553531,1.0,553531.0
